Customer_ID,Order_ID,Gender,Customer_DOB,Ordered_Date,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Reached_on_Time_Y_N
C009470,ABDA000026,F,25-01-1981,03-01-2018,F,Flight,4,4,137,3,medium,8,4066,1
C010323,ABDA000027,F,28-12-1973,03-01-2018,A,Ship,2,1,96,2,high,9,4449,1
C002529,ABDA000028,M,17-04-1990,04-01-2018,A,Ship,2,3,139,8,medium,21,1033,1
C003411,ABDA000029,F,29-01-1983,04-01-2018,A,Road,3,1,134,3,low,7,5802,1
C005618,ABDA000030,F,30-04-1981,04-01-2018,F,Flight,5,4,281,3,low,10,5675,0
C005957,ABDA000031,F,28-06-1968,04-01-2018,C,Ship,2,5,241,3,medium,3,4253,1
C006273,ABDA000032,M,06-10-1977,04-01-2018,A,Ship,6,5,279,4,low,7,1447,0
C009922,ABDA000033,M,20-12-1965,04-01-2018,B,Ship,4,1,258,5,low,8,1306,0
C010815,ABDA000034,F,14-03-1968,04-01-2018,A,Road,5,1,174,5,medium,6,4677,0
C000617,ABDA000035,F,09-09-1981,05-01-2018,C,Ship,5,5,143,2,high,18,1066,1
C000624,ABDA000036,M,21-10-1988,05-01-2018,F,Ship,4,1,165,3,medium,51,1293,1
C001648,ABDA000037,M,21-03-1982,05-01-2018,B,Flight,4,4,198,2,medium,64,3787,1
C005948,ABDA000038,F,12-05-1987,05-01-2018,F,Ship,4,1,269,2,medium,8,4930,0
C006242,ABDA000039,M,14-02-1993,05-01-2018,F,Ship,4,5,153,2,low,1,4492,0
C006506,ABDA000040,M,05-12-1977,05-01-2018,F,Ship,5,1,254,5,medium,10,1020,0
C008742,ABDA000041,F,19-09-1987,05-01-2018,F,Road,3,4,226,2,high,8,5793,0
C009570,ABDA000042,M,20-04-1968,05-01-2018,F,Road,3,2,133,5,medium,9,5744,1
C000706,ABDA000043,M,19-03-1983,06-01-2018,B,Ship,2,4,111,2,high,60,1787,1
C001094,ABDA000044,F,03-11-1979,06-01-2018,F,Flight,2,5,216,2,medium,57,3807,1
C001471,ABDA000045,M,27-07-1986,06-01-2018,D,Ship,2,3,123,2,medium,11,1383,1
C002747,ABDA000046,M,08-01-1980,06-01-2018,C,Flight,5,2,171,3,high,34,1029,1
C002774,ABDA000047,M,31-01-1975,06-01-2018,F,Ship,5,5,171,3,high,14,1554,1
C003149,ABDA000048,M,19-08-1994,06-01-2018,C,Flight,3,3,207,3,high,1,5632,1
C003406,ABDA000049,M,14-01-1991,06-01-2018,B,Road,3,5,139,2,medium,7,5536,0
C004601,ABDA000050,M,19-10-1978,06-01-2018,C,Ship,3,5,256,3,low,7,4366,1
C005369,ABDA000051,M,04-09-1966,06-01-2018,C,Ship,3,4,175,2,medium,9,5643,1
C005539,ABDA000052,F,19-05-1983,06-01-2018,D,Ship,6,2,257,4,low,4,1929,1
C005755,ABDA000053,F,12-11-1981,06-01-2018,D,Flight,6,4,305,4,low,7,1172,1
C006055,ABDA000054,F,30-09-1979,06-01-2018,D,Ship,4,4,202,3,low,3,5524,1
C006946,ABDA000055,F,29-11-1969,06-01-2018,B,Ship,4,1,219,3,low,5,5632,0
C008180,ABDA000056,M,02-11-1977,06-01-2018,F,Ship,4,3,225,2,low,2,4520,1
C008923,ABDA000057,M,25-06-1968,06-01-2018,D,Ship,5,5,229,5,medium,2,1975,1
C000011,ABDA000058,M,21-01-1968,07-01-2018,C,Flight,3,4,189,2,medium,12,2888,1
C003858,ABDA000059,F,25-10-1978,07-01-2018,F,Ship,5,1,245,2,medium,2,4882,1
C004869,ABDA000060,M,31-12-1975,07-01-2018,A,Ship,4,3,280,6,high,8,4525,0
C005591,ABDA000061,M,08-07-1966,07-01-2018,C,Road,5,5,195,4,medium,1,4482,0
C007230,ABDA000062,M,07-12-1965,07-01-2018,F,Ship,3,5,151,2,low,3,5039,0
C009157,ABDA000063,F,27-05-1991,07-01-2018,D,Road,6,2,257,4,low,5,1565,1
C009328,ABDA000064,F,20-06-1970,07-01-2018,B,Flight,4,3,261,6,low,6,5068,0
C009815,ABDA000065,F,20-08-1988,07-01-2018,C,Ship,4,4,131,3,medium,10,4625,0
C010487,ABDA000066,F,07-10-1986,07-01-2018,C,Ship,6,4,206,5,medium,10,1680,0
C002633,ABDA000067,F,07-01-1982,08-01-2018,C,Ship,4,5,244,3,low,49,3914,1
C002757,ABDA000068,F,20-08-1966,08-01-2018,A,Flight,3,5,98,3,medium,48,1635,1
C002891,ABDA000069,M,11-05-1980,08-01-2018,C,Flight,4,5,187,5,medium,16,3781,1
C003249,ABDA000070,F,15-05-1972,08-01-2018,A,Ship,4,3,148,3,high,7,5034,1
C004638,ABDA000071,F,02-05-1968,08-01-2018,F,Road,3,4,190,4,medium,7,5963,1
C007061,ABDA000072,F,05-09-1985,08-01-2018,C,Ship,3,1,173,3,low,3,4453,1
C008338,ABDA000073,M,05-02-1989,08-01-2018,B,Road,5,4,271,5,low,4,1320,0
C009147,ABDA000074,F,21-03-1986,08-01-2018,A,Ship,4,3,225,5,medium,6,1573,0
C009829,ABDA000075,M,20-03-1967,08-01-2018,D,Ship,4,4,262,3,medium,2,5429,0
C009839,ABDA000076,M,10-11-1971,08-01-2018,C,Road,5,5,203,4,low,6,4557,1
C010219,ABDA000077,M,10-04-1984,08-01-2018,D,Ship,5,3,274,5,medium,7,1696,1
C010256,ABDA000078,M,28-01-1965,08-01-2018,F,Road,4,3,173,3,low,4,4793,1
C010990,ABDA000079,F,10-01-1974,08-01-2018,B,Ship,5,1,218,5,medium,9,1603,0
C000779,ABDA000080,M,29-09-1983,09-01-2018,C,Ship,2,4,177,3,medium,48,1113,1
C001815,ABDA000081,M,31-12-1980,09-01-2018,A,Ship,5,4,260,3,low,43,2143,1
C003161,ABDA000082,F,07-07-1977,09-01-2018,C,Flight,3,3,123,5,medium,5,4292,0
C003903,ABDA000083,F,01-03-1981,09-01-2018,A,Ship,5,3,231,3,medium,2,4735,0
C004694,ABDA000084,F,07-02-1969,09-01-2018,F,Ship,3,3,249,2,low,2,5078,0
C004886,ABDA000085,F,10-01-1970,09-01-2018,F,Ship,5,1,172,2,high,7,5165,0
C006690,ABDA000086,M,09-04-1992,09-01-2018,F,Road,4,4,263,3,medium,5,4193,0
C006720,ABDA000087,M,12-04-1970,09-01-2018,F,Flight,4,3,178,3,medium,3,5669,0
C006745,ABDA000088,M,11-04-1969,09-01-2018,D,Ship,3,5,168,3,medium,7,4296,0
C007897,ABDA000089,F,06-03-1972,09-01-2018,D,Ship,3,3,242,3,medium,8,5915,1
C008276,ABDA000090,F,23-01-1981,09-01-2018,F,Ship,5,4,262,3,medium,6,4428,0
C008614,ABDA000091,F,20-01-1981,09-01-2018,B,Road,7,1,307,4,low,8,1339,0
C008732,ABDA000092,M,03-11-1967,09-01-2018,F,Ship,5,2,238,2,low,5,5703,0
C010426,ABDA000093,F,04-11-1979,09-01-2018,B,Flight,3,4,180,6,medium,3,5605,0
C003430,ABDA000094,M,16-08-1989,10-01-2018,B,Flight,3,5,245,6,high,9,4793,0
C004341,ABDA000095,F,14-10-1968,10-01-2018,A,Ship,5,3,222,3,low,6,4744,1
C005036,ABDA000096,F,02-06-1989,10-01-2018,F,Ship,4,5,134,3,low,1,1008,0
C005878,ABDA000097,M,15-10-1969,10-01-2018,B,Road,4,3,207,4,low,5,5008,1
C006903,ABDA000098,M,03-09-1966,10-01-2018,A,Ship,5,2,254,5,high,6,1491,1
C007352,ABDA000099,F,16-06-1973,10-01-2018,F,Ship,3,2,154,3,low,6,5540,1
C007354,ABDA000100,M,01-05-1991,10-01-2018,B,Ship,4,1,257,2,low,7,4869,0
C007537,ABDA000101,F,12-04-1991,10-01-2018,D,Flight,2,5,263,4,medium,4,4042,1
C009498,ABDA000102,F,18-01-1982,10-01-2018,F,Ship,4,3,258,3,medium,7,4887,1
C009916,ABDA000103,F,27-12-1986,10-01-2018,B,Ship,5,3,275,5,low,2,1816,0
C010614,ABDA000104,F,26-01-1968,10-01-2018,F,Ship,3,3,231,3,low,3,4649,1
C000851,ABDA000105,F,30-06-1988,11-01-2018,C,Ship,4,2,170,2,low,1,1446,1
C001724,ABDA000106,F,26-01-1967,11-01-2018,F,Ship,5,3,133,4,medium,29,1094,1
C001729,ABDA000107,M,17-04-1990,11-01-2018,D,Ship,2,3,249,2,low,1,2905,1
C003105,ABDA000108,M,08-02-1985,11-01-2018,A,Ship,2,2,273,3,low,56,2633,1
C003661,ABDA000109,M,29-03-1988,11-01-2018,D,Ship,5,3,249,2,medium,3,4440,0
C003998,ABDA000110,M,09-06-1972,11-01-2018,F,Ship,3,4,173,2,low,5,4402,0
C004361,ABDA000111,M,24-04-1992,11-01-2018,C,Road,4,5,142,2,low,2,5150,1
C004684,ABDA000112,M,04-10-1989,11-01-2018,B,Ship,4,4,171,2,low,4,4962,0
C004792,ABDA000113,F,21-07-1981,11-01-2018,B,Flight,5,5,232,3,low,3,5718,1
C006980,ABDA000114,F,12-03-1993,11-01-2018,F,Road,3,5,139,3,low,1,4060,1
C007856,ABDA000115,F,21-06-1984,11-01-2018,F,Ship,4,5,209,3,low,6,5899,1
C009473,ABDA000116,F,24-07-1971,11-01-2018,C,Ship,4,1,141,3,low,6,5273,0
C000639,ABDA000117,M,16-03-1969,12-01-2018,A,Ship,6,2,269,4,medium,38,3171,1
C001878,ABDA000118,F,07-10-1989,12-01-2018,F,Ship,2,2,274,3,high,60,2053,1
C002507,ABDA000119,F,25-08-1976,12-01-2018,C,Ship,5,4,243,3,low,35,2899,1
C002914,ABDA000120,F,01-11-1988,12-01-2018,B,Ship,6,1,250,5,low,53,3352,1
C006165,ABDA000121,F,20-06-1975,12-01-2018,A,Flight,3,5,151,3,low,1,4088,0
C006230,ABDA000122,M,11-02-1977,12-01-2018,F,Ship,6,3,278,4,medium,4,1716,0
C006396,ABDA000123,M,08-06-1982,12-01-2018,F,Ship,3,5,185,3,medium,5,4317,1
C006732,ABDA000124,F,13-08-1972,12-01-2018,F,Ship,5,2,246,3,medium,10,5110,0
C008555,ABDA000125,M,07-01-1980,12-01-2018,C,Ship,6,5,308,4,low,8,1164,1
C009277,ABDA000126,M,03-05-1985,12-01-2018,D,Ship,3,3,262,4,low,5,4782,0
C009989,ABDA000127,M,23-03-1993,12-01-2018,C,Road,3,5,148,3,low,4,5919,0
C001163,ABDA000128,M,14-02-1979,13-01-2018,C,Ship,4,2,187,4,medium,37,2200,1
C001599,ABDA000129,F,07-06-1984,13-01-2018,A,Ship,3,5,193,3,high,57,3364,1
C002154,ABDA000130,M,02-08-1974,13-01-2018,F,Ship,4,5,133,2,medium,39,1106,1
C003357,ABDA000131,F,04-01-1971,13-01-2018,A,Ship,4,3,163,8,medium,6,5739,0
C005096,ABDA000132,M,11-04-1987,13-01-2018,F,Ship,3,4,243,2,medium,1,5840,1
C006119,ABDA000133,M,06-05-1968,13-01-2018,C,Ship,2,2,227,4,medium,6,4104,1
C009654,ABDA000134,F,14-02-1966,13-01-2018,F,Ship,5,5,266,10,high,2,5890,0
C010237,ABDA000135,F,20-04-1973,13-01-2018,D,Ship,4,4,175,2,medium,10,4927,0
C010657,ABDA000136,M,30-06-1966,13-01-2018,D,Ship,2,5,277,3,medium,6,1032,0
C001037,ABDA000137,M,08-04-1983,14-01-2018,C,Ship,4,3,261,2,high,47,2336,1
C002089,ABDA000138,F,22-01-1967,14-01-2018,D,Ship,3,5,156,4,medium,26,1769,1
C002798,ABDA000139,F,14-07-1993,14-01-2018,F,Ship,3,1,225,2,high,43,2585,1
C003399,ABDA000140,M,15-02-1985,14-01-2018,A,Road,6,2,240,4,low,9,4099,0
C003622,ABDA000141,M,11-08-1992,14-01-2018,B,Ship,3,3,148,3,low,1,5700,0
C005650,ABDA000142,F,10-01-1968,14-01-2018,B,Ship,3,5,214,3,low,6,5319,0
C005915,ABDA000143,F,14-11-1993,14-01-2018,C,Ship,4,5,205,4,medium,5,5264,0
C006349,ABDA000144,F,05-06-1967,14-01-2018,D,Ship,6,5,250,2,low,7,4724,0
C006490,ABDA000145,F,19-09-1978,14-01-2018,B,Ship,5,1,232,3,low,10,1014,1
C006521,ABDA000146,M,15-05-1988,14-01-2018,C,Ship,3,3,216,8,medium,4,5329,1
C008357,ABDA000147,F,12-06-1982,14-01-2018,C,Flight,5,4,245,5,medium,4,1771,1
C009474,ABDA000148,F,19-03-1976,14-01-2018,F,Ship,5,1,137,3,medium,10,4641,0
C000416,ABDA000149,F,03-05-1989,15-01-2018,F,Flight,3,2,115,3,low,27,1814,1
C002096,ABDA000150,M,20-12-1980,15-01-2018,F,Ship,3,4,153,2,medium,37,1740,1
C002558,ABDA000151,M,31-08-1975,15-01-2018,F,Ship,2,5,223,3,medium,35,3437,1
C002853,ABDA000152,F,22-03-1985,15-01-2018,A,Road,4,4,153,3,low,27,1613,1
C003581,ABDA000153,M,10-03-1992,15-01-2018,C,Ship,2,3,154,3,medium,3,4478,0
C004287,ABDA000154,F,27-08-1966,15-01-2018,A,Ship,3,5,170,7,low,7,4373,1
C005695,ABDA000155,F,14-08-1991,15-01-2018,D,Ship,5,3,142,4,medium,4,5116,1
C005952,ABDA000156,M,12-05-1989,15-01-2018,F,Ship,5,2,265,3,low,10,4347,1
C006214,ABDA000157,M,20-01-1980,15-01-2018,B,Ship,6,5,282,4,low,1,1193,1
C006294,ABDA000158,F,05-10-1969,15-01-2018,F,Road,5,2,222,5,low,1,1672,0
C006391,ABDA000159,M,22-07-1984,15-01-2018,D,Ship,4,5,219,2,high,4,4069,1
C006435,ABDA000160,F,17-06-1977,15-01-2018,A,Flight,4,2,238,2,medium,9,4937,0
C006810,ABDA000161,F,18-05-1970,15-01-2018,F,Ship,3,1,237,3,medium,4,5860,0
C006937,ABDA000162,M,31-05-1992,15-01-2018,D,Ship,4,4,191,2,low,1,4318,1
C007428,ABDA000163,F,29-01-1982,15-01-2018,F,Ship,5,5,264,3,high,3,5835,1
C007723,ABDA000164,F,07-12-1980,15-01-2018,D,Ship,7,4,308,5,medium,7,1563,1
C008377,ABDA000165,F,15-11-1968,15-01-2018,D,Ship,4,5,248,4,low,2,4427,0
C009898,ABDA000166,F,18-12-1977,15-01-2018,B,Ship,3,5,220,3,low,5,4407,0
C010604,ABDA000167,M,19-01-1975,15-01-2018,F,Ship,6,4,230,4,low,3,4736,1
C000158,ABDA000168,F,27-10-1973,16-01-2018,F,Ship,3,2,203,2,medium,39,3845,1
C001567,ABDA000169,M,12-07-1974,16-01-2018,D,Ship,5,1,159,4,low,38,1277,1
C002156,ABDA000170,M,29-08-1979,16-01-2018,F,Ship,4,3,212,4,low,28,2422,1
C002414,ABDA000171,F,13-07-1991,16-01-2018,F,Ship,4,5,153,3,high,3,1347,1
C002841,ABDA000172,F,01-04-1970,16-01-2018,A,Ship,4,4,149,2,medium,19,1665,1
C006238,ABDA000173,F,08-08-1979,16-01-2018,B,Ship,3,3,238,2,medium,4,4206,0
C006925,ABDA000174,F,09-02-1968,16-01-2018,D,Ship,6,1,245,4,low,10,1606,0
C000293,ABDA000175,M,27-05-1970,17-01-2018,C,Ship,4,3,211,4,medium,40,3106,1
C001373,ABDA000176,F,14-01-1978,17-01-2018,C,Flight,4,5,150,2,low,30,1782,1
C006586,ABDA000177,F,22-09-1988,17-01-2018,B,Flight,7,2,275,4,medium,6,1513,0
C007078,ABDA000178,M,06-12-1981,17-01-2018,B,Ship,4,1,192,4,high,5,4142,1
C002069,ABDA000179,F,19-04-1981,18-01-2018,C,Flight,5,4,178,7,medium,36,1179,1
C002310,ABDA000180,F,16-05-1985,18-01-2018,F,Road,6,2,224,3,medium,26,3247,1
C003009,ABDA000181,F,23-12-1972,18-01-2018,A,Road,3,1,159,2,medium,44,1806,1
C003159,ABDA000182,F,06-03-1977,18-01-2018,A,Flight,4,2,159,5,low,4,5547,1
C003523,ABDA000183,F,18-05-1988,18-01-2018,D,Ship,5,3,181,4,low,2,5332,0
C003744,ABDA000184,F,26-01-1990,18-01-2018,F,Ship,4,2,233,2,low,5,4817,0
C004587,ABDA000185,F,25-12-1971,18-01-2018,A,Ship,3,1,145,3,high,10,4364,0
C009585,ABDA000186,F,09-07-1990,18-01-2018,A,Road,6,5,248,3,low,3,5709,1
C010408,ABDA000187,M,10-03-1993,18-01-2018,B,Flight,4,3,248,5,low,3,1093,0
C010598,ABDA000188,F,04-03-1981,18-01-2018,F,Ship,2,2,258,3,medium,3,5365,1
C000543,ABDA000189,F,09-11-1980,19-01-2018,A,Road,4,5,218,3,low,40,3200,1
C000881,ABDA000190,F,06-02-1971,19-01-2018,C,Ship,2,4,194,6,medium,39,3770,1
C000946,ABDA000191,M,05-09-1988,19-01-2018,B,Road,2,2,163,3,medium,35,1547,1
C002394,ABDA000192,M,02-12-1991,19-01-2018,F,Ship,4,3,158,3,low,18,1036,1
C003842,ABDA000193,M,11-11-1980,19-01-2018,F,Flight,3,1,164,3,medium,2,5488,0
C004116,ABDA000194,F,27-10-1969,19-01-2018,F,Flight,4,2,203,3,low,9,5296,1
C004208,ABDA000195,F,29-07-1980,19-01-2018,F,Ship,3,5,167,2,low,2,4141,0
C005119,ABDA000196,F,30-04-1987,19-01-2018,D,Ship,5,2,139,4,low,9,5070,1
C005131,ABDA000197,M,17-04-1988,19-01-2018,D,Ship,4,5,172,2,medium,7,4559,0
C005377,ABDA000198,F,30-11-1967,19-01-2018,D,Ship,4,4,236,2,medium,5,5266,0
C006800,ABDA000199,M,25-11-1983,19-01-2018,F,Ship,3,4,265,10,low,10,4049,0
C006893,ABDA000200,F,28-12-1984,19-01-2018,C,Ship,5,5,268,5,medium,10,1906,0
C007086,ABDA000201,M,14-09-1967,19-01-2018,F,Ship,6,1,260,3,medium,1,5134,0
C008343,ABDA000202,M,07-03-1976,19-01-2018,A,Road,6,4,262,5,low,9,1369,0
C009673,ABDA000203,M,29-04-1979,19-01-2018,D,Ship,6,4,296,4,low,7,1969,0
C010011,ABDA000204,M,11-09-1966,19-01-2018,A,Flight,5,5,105,4,low,6,5135,1
C000083,ABDA000205,F,16-12-1978,20-01-2018,C,Ship,4,4,217,3,high,26,2875,1
C000908,ABDA000206,M,10-08-1987,20-01-2018,F,Ship,5,1,165,2,high,54,1190,1
C001275,ABDA000207,F,21-03-1978,20-01-2018,A,Ship,4,2,255,4,low,62,3198,1
C001345,ABDA000208,F,07-05-1967,20-01-2018,D,Road,3,4,147,3,low,2,1307,1
C008492,ABDA000209,M,26-03-1990,20-01-2018,F,Flight,3,1,244,3,medium,6,4062,1
C009910,ABDA000210,F,16-07-1989,20-01-2018,B,Ship,6,2,245,4,low,9,1594,0
C010859,ABDA000211,M,03-04-1981,20-01-2018,C,Ship,3,1,166,3,medium,4,4716,0
C000846,ABDA000212,F,18-05-1981,21-01-2018,F,Ship,5,2,145,5,medium,22,1818,1
C002493,ABDA000213,M,13-08-1976,21-01-2018,A,Ship,5,1,222,4,low,63,3506,1
C003367,ABDA000214,F,01-03-1981,21-01-2018,D,Ship,5,4,273,3,medium,2,5672,1
C004191,ABDA000215,M,10-01-1989,21-01-2018,A,Ship,4,5,175,2,medium,4,4910,1
C004474,ABDA000216,M,31-07-1994,21-01-2018,B,Ship,3,1,173,2,low,10,4115,1
C005425,ABDA000217,F,03-10-1978,21-01-2018,D,Ship,4,1,229,4,low,3,4352,1
C005478,ABDA000218,M,23-03-1983,21-01-2018,F,Flight,4,4,198,6,medium,9,5730,1
C007564,ABDA000219,F,27-07-1990,21-01-2018,B,Ship,4,5,275,5,low,6,4450,0
C008190,ABDA000220,F,24-01-1974,21-01-2018,F,Ship,3,1,259,2,low,3,4380,0
C010128,ABDA000221,F,28-02-1989,21-01-2018,F,Road,2,5,271,3,low,6,5471,1
C010373,ABDA000222,M,19-04-1971,21-01-2018,C,Ship,3,3,257,2,medium,5,4681,1
C010739,ABDA000223,F,14-07-1978,21-01-2018,C,Ship,4,1,255,5,medium,1,1918,1
C000475,ABDA000224,M,10-12-1971,22-01-2018,D,Ship,4,3,275,10,medium,10,2093,1
C000824,ABDA000225,F,18-04-1966,22-01-2018,F,Flight,5,3,178,2,medium,60,1830,1
C001146,ABDA000226,M,17-11-1975,22-01-2018,F,Ship,5,1,186,10,low,64,2529,1
C001844,ABDA000227,F,10-10-1982,22-01-2018,F,Ship,3,1,267,3,low,57,3257,1
C002694,ABDA000228,F,03-03-1987,22-01-2018,F,Ship,3,1,202,3,low,51,3551,1
C003001,ABDA000229,F,28-10-1980,22-01-2018,D,Road,5,5,154,3,medium,50,1389,1
C005513,ABDA000230,F,01-07-1994,22-01-2018,C,Ship,6,5,266,4,medium,6,1312,1
C006046,ABDA000231,F,07-09-1978,22-01-2018,B,Ship,6,2,286,4,low,4,1594,0
C006111,ABDA000232,M,05-02-1965,22-01-2018,A,Ship,4,2,264,3,low,10,5137,1
C006553,ABDA000233,M,23-01-1977,22-01-2018,D,Road,5,4,254,5,medium,7,1545,0
C003089,ABDA000234,M,26-04-1987,23-01-2018,C,Ship,4,2,218,2,high,1,2990,1
C003115,ABDA000235,M,09-07-1982,23-01-2018,D,Ship,4,2,217,3,low,1,3133,1
C003658,ABDA000236,M,19-02-1992,23-01-2018,B,Ship,3,2,265,6,low,9,5936,0
C004443,ABDA000237,F,19-06-1965,23-01-2018,A,Ship,4,5,164,2,low,9,5453,0
C005492,ABDA000238,F,08-01-1977,23-01-2018,F,Flight,4,4,196,5,low,6,4258,0
C006590,ABDA000239,F,09-02-1971,23-01-2018,F,Flight,5,3,218,5,low,6,1278,1
C006722,ABDA000240,M,12-12-1980,23-01-2018,F,Flight,4,2,180,4,medium,9,4329,0
C008410,ABDA000241,M,05-10-1984,23-01-2018,B,Ship,4,2,187,2,medium,7,4470,1
C008600,ABDA000242,M,16-10-1977,23-01-2018,F,Ship,4,1,232,5,medium,8,1943,0
C009382,ABDA000243,F,27-09-1987,23-01-2018,B,Ship,5,3,242,4,medium,8,4410,1
C002062,ABDA000244,M,15-08-1980,24-01-2018,B,Flight,4,2,233,7,medium,64,3146,1
C002934,ABDA000245,F,18-06-1972,24-01-2018,F,Ship,6,3,273,4,medium,32,2532,1
C003171,ABDA000246,F,24-12-1973,24-01-2018,A,Ship,4,5,139,3,low,3,5824,1
C003403,ABDA000247,F,24-07-1969,24-01-2018,D,Road,5,1,180,3,low,2,5013,1
C003965,ABDA000248,F,10-01-1975,24-01-2018,C,Road,3,1,260,2,medium,6,4332,0
C004335,ABDA000249,F,10-11-1967,24-01-2018,A,Ship,5,2,152,3,low,2,4172,0
C008340,ABDA000250,F,18-01-1990,24-01-2018,F,Road,5,1,291,4,low,3,1663,1
C009857,ABDA000251,F,05-06-1985,24-01-2018,C,Road,4,4,185,2,medium,1,4729,0
C010183,ABDA000252,M,15-09-1967,24-01-2018,D,Ship,6,2,247,4,medium,3,1118,0
C000485,ABDA000253,F,11-11-1966,25-01-2018,C,Ship,4,3,186,7,medium,30,2062,1
C000892,ABDA000254,F,13-12-1967,25-01-2018,B,Ship,3,4,255,4,low,12,2266,1
C002003,ABDA000255,F,27-01-1973,25-01-2018,C,Ship,3,1,269,2,low,35,3524,1
C002269,ABDA000256,F,07-05-1976,25-01-2018,D,Ship,4,1,132,4,medium,10,1343,1
C002440,ABDA000257,M,23-03-1972,25-01-2018,B,Road,2,1,115,3,high,42,1247,1
C004799,ABDA000258,F,01-12-1991,25-01-2018,C,Flight,6,1,265,4,low,7,1644,1
C005386,ABDA000259,F,26-08-1985,25-01-2018,B,Ship,3,2,238,4,low,7,5254,0
C006882,ABDA000260,F,31-01-1994,25-01-2018,F,Ship,5,2,262,6,medium,4,1532,1
C007654,ABDA000261,M,05-06-1969,25-01-2018,B,Road,4,5,180,2,medium,1,5622,0
C007742,ABDA000262,M,19-09-1979,25-01-2018,F,Ship,5,2,270,4,medium,8,1631,1
C008804,ABDA000263,F,29-08-1970,25-01-2018,F,Ship,3,5,195,2,medium,9,5832,0
C008815,ABDA000264,M,14-04-1976,25-01-2018,D,Ship,3,2,138,10,low,1,5721,1
C010190,ABDA000265,F,04-10-1966,25-01-2018,F,Ship,4,1,228,5,low,6,1874,0
C010526,ABDA000266,F,20-10-1978,25-01-2018,F,Road,3,2,164,2,medium,3,4666,0
C010672,ABDA000267,F,17-10-1989,25-01-2018,B,Road,3,1,236,4,medium,10,1551,0
C001610,ABDA000268,F,05-02-1978,26-01-2018,F,Ship,5,1,258,2,medium,22,3713,1
C001720,ABDA000269,M,30-09-1988,26-01-2018,B,Ship,3,2,243,3,medium,31,3943,1
C004462,ABDA000270,M,19-07-1993,26-01-2018,B,Ship,4,5,199,5,medium,8,5669,1
C007265,ABDA000271,M,13-11-1982,26-01-2018,C,Flight,3,4,156,3,medium,4,4519,1
C007526,ABDA000272,F,02-04-1975,26-01-2018,F,Road,4,3,174,3,low,3,4846,1
C008416,ABDA000273,M,25-08-1978,26-01-2018,B,Ship,4,1,260,5,low,1,5559,1
